crypto,date,close,log_return,open,high,low,volume,target_7d,vol_30,sma,ema,momentum,cci,regime_label
BNBUSDT,2020-06-20,16.059,0.0067353785688015755,15.9611,16.0898,15.7,1427210.22,-0.05997333012329298,0.025105038880828563,16.662242857142854,16.53027995690429,-1.4921000000000006,-108.06639979374373,0
BNBUSDT,2020-06-21,15.9775,-0.005087957537054155,16.059,16.3358,15.921,1317075.84,-0.03823056042447792,0.024445015912522107,16.559671428571427,16.456575962650387,-1.436,-80.54681175308076,0
BNBUSDT,2020-06-22,16.5051,0.032487941514571794,15.9792,16.55,15.9499,1706812.42,-0.06505122138824371,0.025181963537056578,16.492257142857145,16.463045834297002,-0.9437999999999995,-27.320707832862468,0
BNBUSDT,2020-06-23,16.3898,-0.007010233938123278,16.5051,16.5472,16.2602,1453306.73,-0.06334418243679796,0.02449307210686676,16.422007142857144,16.453279723057403,-0.9834999999999994,-0.8478594540587527,0
BNBUSDT,2020-06-24,15.9968,-0.024270487881634217,16.3898,16.6481,15.95,1529800.3,-0.011467784865014874,0.024439822997230232,16.32135,16.392415759983084,-1.4091999999999985,-42.68393870121146,0
BNBUSDT,2020-06-25,15.906,-0.005692305702170497,16.0084,16.0816,15.5,1201354.75,-0.034708339143969535,0.024394981028330116,16.298221428571427,16.327560325318675,-0.3238000000000003,-141.97698481771565,0
BNBUSDT,2020-06-26,15.7694,-0.008625043208339456,15.9056,15.9996,15.5715,1041399.0,-0.031114350897108345,0.024240465503383653,16.2362,16.253138948609518,-0.8682999999999996,-134.4603886681147,0
BNBUSDT,2020-06-27,15.1242,-0.04177524337054317,15.7696,15.8714,14.8,1309335.66,0.02807316270882243,0.024244586269039053,16.11577857142857,16.102613755461583,-1.6858999999999984,-230.56529618145905,0
BNBUSDT,2020-06-28,15.3782,0.0166548121617609,15.123,15.4944,14.9249,1402858.96,0.007146890953163787,0.024537108909437045,16.03044285714286,16.006025254733373,-1.194700000000001,-176.00354516492158,0
BNBUSDT,2020-06-29,15.4656,0.005667280550806009,15.3714,15.5901,15.204,1511856.38,0.05322152416326542,0.0230932578359044,15.965342857142858,15.933968554102258,-0.9113999999999987,-111.54560634523014,0
BNBUSDT,2020-06-30,15.3838,-0.0053031949866775285,15.4674,15.5476,15.2519,1315772.42,0.08834955220442353,0.02229139145949645,15.890407142857145,15.860612746888624,-1.0490999999999993,-96.83508309725411,0
BNBUSDT,2020-07-01,15.8144,0.027605909690148867,15.3959,15.8888,15.3363,1612208.19,0.08873879366304882,0.020860178970240742,15.8487,15.854451047303474,-0.5838999999999999,-33.880371042725585,0
BNBUSDT,2020-07-02,15.3634,-0.02893285998112516,15.8123,15.9796,15.0743,1399345.39,0.09102045284070481,0.02037573570442165,15.791742857142859,15.788977574329678,-0.7973999999999979,-65.81268988081354,0
BNBUSDT,2020-07-03,15.2863,-0.005031054961478265,15.364,15.488,15.2484,1211128.83,0.12446022910476229,0.019957683989560847,15.74425,15.721953897752389,-0.6648999999999994,-79.41218607688013,0
BNBUSDT,2020-07-04,15.5548,0.017412270235387606,15.2856,15.6399,15.2239,1319545.75,0.1246937242850299,0.020360577027779988,15.708235714285715,15.699666711385404,-0.5042000000000009,-46.69590655056669,0
